carat,cut,color,clarity,depth,table,x,y,z,price,depth_categories
1.21,0,4,3.6,63.0,57.0,6.73,6.7,4.23,6134,0.2
0.28,2,0,2.5,64.0,56.0,4.14,4.17,2.66,532,0.2
0.42,1,2,3.1,61.2,58.0,4.86,4.82,2.96,1103,0.0
0.26,0,4,0.0,61.1,57.0,4.16,4.12,2.53,600,0.0
1.1,3,3,6.0,63.4,57.0,6.52,6.55,4.14,4997,0.2
0.35,0,2,6.0,62.2,56.0,4.48,4.52,2.8,583,0.2
0.31,0,5,3.6,62.3,54.0,4.37,4.4,2.73,452,0.2
0.43,1,4,6.0,60.2,57.0,4.93,4.91,2.96,919,0.0
0.51,1,5,6.5,60.4,59.0,5.2,5.17,3.13,956,0.0
1.22,0,5,3.1,61.9,55.7,6.81,6.84,4.23,6469,0.0
0.41,2,0,6.0,63.2,57.0,4.77,4.73,3.0,947,0.2
0.33,1,3,2.0,61.9,59.0,4.41,4.38,2.72,1114,0.0
0.93,0,5,6.0,62.5,55.0,6.23,6.29,3.91,3856,0.2
0.71,0,4,3.1,61.6,57.0,5.74,5.79,3.55,2175,0.0
0.47,0,3,2.5,62.2,53.0,5.0,5.04,3.12,1618,0.2
1.71,1,5,6.5,60.6,57.0,7.78,7.71,4.69,9760,0.0
0.33,2,1,2.5,60.1,63.0,4.45,4.5,2.69,981,0.0
1.26,2,3,6.0,61.7,60.0,6.85,6.9,4.24,6733,0.0
0.75,1,3,6.0,60.9,58.0,5.87,5.83,3.56,2631,0.0
0.76,2,4,6.0,61.4,57.0,5.89,5.94,3.63,2557,0.0
0.31,0,1,2.5,62.4,53.0,4.33,4.35,2.71,791,0.2
0.7,1,2,2.5,58.7,60.0,5.8,5.75,3.39,3062,0.2
0.3,0,0,2.5,61.6,57.0,4.31,4.32,2.66,814,0.0
0.28,0,2,3.1,60.2,56.0,4.3,4.31,2.59,598,0.0
0.9,0,1,3.6,62.7,56.0,6.14,6.18,3.86,4770,0.2
