carat,cut,color,clarity,depth,table,price,depth_categories
1.21,0,4,3.6,63.0,57.0,6134,0.2
0.28,2,0,2.5,64.0,56.0,532,0.2
0.42,1,2,3.1,61.2,58.0,1103,0.0
0.26,0,4,0.0,61.1,57.0,600,0.0
1.1,3,3,6.0,63.4,57.0,4997,0.2
0.35,0,2,6.0,62.2,56.0,583,0.2
0.31,0,5,3.6,62.3,54.0,452,0.2
0.43,1,4,6.0,60.2,57.0,919,0.0
0.51,1,5,6.5,60.4,59.0,956,0.0
1.22,0,5,3.1,61.9,55.7,6469,0.0
0.41,2,0,6.0,63.2,57.0,947,0.2
0.33,1,3,2.0,61.9,59.0,1114,0.0
0.93,0,5,6.0,62.5,55.0,3856,0.2
0.71,0,4,3.1,61.6,57.0,2175,0.0
0.47,0,3,2.5,62.2,53.0,1618,0.2
1.71,1,5,6.5,60.6,57.0,9760,0.0
0.33,2,1,2.5,60.1,63.0,981,0.0
1.26,2,3,6.0,61.7,60.0,6733,0.0
0.75,1,3,6.0,60.9,58.0,2631,0.0
0.76,2,4,6.0,61.4,57.0,2557,0.0
0.31,0,1,2.5,62.4,53.0,791,0.2
0.7,1,2,2.5,58.7,60.0,3062,0.2
0.3,0,0,2.5,61.6,57.0,814,0.0
0.28,0,2,3.1,60.2,56.0,598,0.0
0.9,0,1,3.6,62.7,56.0,4770,0.2
0.51,0,6,6.0,62.5,56.0,988,0.2
0.71,2,5,3.6,61.1,60.0,2384,0.0
0.57,0,4,2.0,60.9,56.0,1949,0.0
0.71,2,2,6.5,60.5,62.0,2138,0.0
0.72,2,1,6.0,63.3,56.0,3183,0.2
0.36,0,3,3.1,62.3,57.0,678,0.2
0.3,0,4,3.1,61.9,58.0,545,0.0
0.9,2,5,3.6,59.3,59.0,3992,0.0
0.7,3,0,2.0,59.2,59.0,4198,0.0
0.38,1,1,3.6,60.5,62.0,1112,0.0
0.67,4,5,3.6,57.2,70.0,1436,0.2
0.3,1,1,3.1,61.4,59.0,814,0.0
2.02,1,1,6.5,59.8,58.0,17825,0.0
2.0,1,3,6.5,61.1,60.0,13986,0.0
0.33,0,4,6.0,63.0,57.0,610,0.2
1.1,0,2,10.0,61.8,56.0,3745,0.0
0.56,2,1,3.6,61.7,56.0,1755,0.0
0.85,1,6,3.6,60.7,58.0,2295,0.0
0.93,3,6,6.0,63.7,54.0,2438,0.2
0.53,0,0,3.6,61.2,56.0,1857,0.0
0.4,2,3,2.0,60.9,57.0,1123,0.0
0.73,0,2,6.5,61.9,55.0,2588,0.0
1.14,1,5,6.0,62.2,58.0,4788,0.2
1.02,1,1,6.0,61.4,58.0,5956,0.0
1.2,0,3,3.1,62.6,54.3,8687,0.2
1.02,0,2,3.6,62.6,57.0,7632,0.2
1.02,1,0,2.5,61.4,58.0,10580,0.0
1.2,0,5,6.5,63.0,57.0,4596,0.2
1.0,3,1,6.0,59.8,65.0,4213,0.0
1.11,1,3,6.0,60.9,59.0,4096,0.0
0.39,1,2,3.1,60.6,55.0,1092,0.0
1.07,1,4,6.0,63.0,57.0,5465,0.2
1.14,2,5,3.6,62.5,59.0,4785,0.2
0.58,0,1,6.5,61.4,57.1,1392,0.0
1.5,3,3,6.5,64.3,57.0,8043,0.2
0.26,0,3,2.5,61.4,56.0,545,0.0
1.01,3,5,6.5,61.8,62.0,3399,0.0
0.4,0,2,3.1,61.1,56.0,1050,0.0
0.33,1,2,3.6,62.4,58.0,666,0.2
1.28,0,2,3.1,61.7,55.0,11580,0.0
0.75,0,0,3.6,62.4,55.0,3456,0.2
1.7,1,3,3.1,61.2,57.0,17492,0.0
1.02,0,0,6.0,62.8,56.0,6158,0.2
0.9,0,3,6.0,61.6,57.0,4001,0.0
0.83,1,2,3.6,62.0,59.0,3393,0.0
0.9,2,2,6.5,60.3,63.0,3630,0.0
0.32,2,3,3.6,60.9,58.0,564,0.0
1.05,3,1,3.1,63.1,59.0,7826,0.2
0.9,2,0,6.0,62.4,63.0,3997,0.2
0.71,0,1,6.5,62.3,57.0,2190,0.2
0.6,0,2,2.5,61.5,57.0,3196,0.0
1.23,2,6,2.5,61.2,57.0,5665,0.0
1.01,4,0,6.0,62.6,57.0,5628,0.2
0.7,4,2,3.1,65.8,59.0,2381,0.2
1.59,0,5,6.0,62.4,56.0,10106,0.2
0.35,2,3,0.0,62.2,58.0,1044,0.2
0.9,3,2,3.6,63.6,59.0,4234,0.2
2.0,4,2,6.5,70.2,57.0,15351,2.0
0.71,1,1,6.0,60.4,62.0,2441,0.0
0.26,2,2,2.0,60.8,58.0,679,0.0
0.53,0,2,3.6,61.2,56.0,1655,0.0
0.35,1,5,3.6,61.2,58.0,630,0.0
0.3,1,3,2.5,62.0,60.0,684,0.0
1.04,2,3,6.5,60.6,57.0,4703,0.0
0.23,2,2,2.0,62.3,55.0,583,0.2
1.03,1,2,3.1,61.8,59.0,7328,0.0
0.3,0,3,6.0,62.2,57.0,477,0.2
1.08,3,1,6.0,63.1,59.0,5096,0.2
1.53,0,5,6.5,61.3,59.0,8062,0.0
1.2,0,1,3.6,61.3,56.0,10214,0.0
0.71,0,1,6.0,60.8,57.0,3360,0.0
0.41,1,3,6.0,60.3,59.0,923,0.0
1.09,1,3,3.6,62.1,57.0,5098,0.2
0.7,3,2,6.0,61.1,61.0,2445,0.0
0.91,1,0,6.5,61.5,56.0,4051,0.0
1.07,2,0,0.0,60.9,58.0,18114,0.0
1.52,3,4,6.0,64.1,59.0,8915,0.2
0.81,3,2,6.0,64.3,53.0,2718,0.2
0.5,2,2,6.0,62.8,56.0,1250,0.2
0.35,2,4,2.5,63.0,55.0,706,0.2
0.7,2,3,3.1,60.1,60.0,3017,0.0
0.34,1,4,6.0,60.2,58.0,477,0.0
0.71,0,1,6.0,60.5,56.0,3527,0.0
0.31,0,1,3.6,61.7,55.0,872,0.0
0.55,1,1,3.6,61.5,56.0,1881,0.0
1.05,0,3,3.6,61.9,56.0,6604,0.0
0.32,1,4,6.0,60.9,60.0,461,0.0
0.3,0,1,2.5,61.5,58.0,766,0.0
0.7,2,4,6.5,61.6,56.1,2306,0.0
0.9,2,4,6.5,62.8,57.0,3160,0.2
0.32,2,2,2.5,61.8,60.0,786,0.0
1.12,0,0,3.6,62.0,55.0,8279,0.0
0.72,2,3,3.6,63.3,57.0,2477,0.2
0.7,0,1,6.0,62.2,57.0,2542,0.2
0.3,2,2,3.6,62.9,57.0,605,0.2
0.5,0,2,2.5,59.9,58.0,2016,0.0
1.5,1,0,6.5,58.7,57.0,9173,0.2
0.55,2,1,2.5,60.6,56.0,2499,0.0
0.53,3,1,6.5,63.0,60.0,1127,0.2
1.0,3,2,6.0,63.3,61.0,4712,0.2
0.74,2,0,3.6,62.4,57.0,2906,0.2
0.5,0,0,6.0,60.9,57.0,1563,0.0
0.34,1,4,3.1,62.2,58.0,765,0.2
1.33,1,4,6.0,61.9,58.0,7302,0.0
0.58,1,1,6.0,62.1,58.0,1812,0.2
0.32,0,2,3.1,62.0,54.0,876,0.0
1.0,1,1,6.5,62.8,59.0,4200,0.2
0.33,1,1,3.1,61.0,55.0,1069,0.0
1.03,0,2,2.5,62.0,56.0,9245,0.0
0.72,1,3,2.5,61.6,58.0,2720,0.0
0.7,1,4,3.1,60.6,59.0,2636,0.0
0.39,2,3,6.0,62.5,55.0,694,0.2
0.71,0,0,6.0,60.2,56.0,2822,0.0
0.71,2,0,6.5,60.2,58.0,2519,0.0
1.53,0,4,2.5,61.9,57.0,12848,0.0
1.0,2,2,3.6,61.1,60.0,6619,0.0
0.39,2,3,3.1,61.7,62.0,741,0.0
0.4,3,0,3.6,63.2,57.0,786,0.2
1.01,2,2,6.5,59.5,57.0,3709,0.0
1.01,3,2,2.5,63.6,60.0,6932,0.2
1.14,0,4,6.5,62.6,57.0,4788,0.2
0.51,0,2,3.6,62.9,57.0,1687,0.2
1.5,0,4,3.6,62.2,57.0,10692,0.2
0.75,0,0,6.5,60.3,57.0,2726,0.0
0.31,0,3,3.6,61.4,56.0,698,0.0
0.97,0,1,6.5,62.3,56.0,4078,0.2
0.9,2,2,3.6,61.7,57.0,4493,0.0
0.3,1,4,0.0,60.4,60.0,1013,0.0
0.9,1,5,6.5,62.5,58.0,2948,0.2
1.0,1,4,6.5,60.0,62.0,3584,0.0
0.3,0,0,6.0,62.2,55.0,709,0.2
1.02,0,1,3.6,61.0,56.0,8225,0.0
0.9,3,0,6.0,63.6,63.0,3755,0.2
1.55,2,3,6.0,59.2,59.0,10707,0.0
0.68,3,3,2.0,61.9,55.0,3225,0.0
0.4,2,1,6.0,63.3,56.0,882,0.2
0.51,1,4,6.5,62.9,56.0,1125,0.2
2.32,1,6,6.5,59.0,59.0,14666,0.0
0.31,0,4,6.0,61.2,58.0,417,0.0
1.1,0,4,3.1,61.4,57.0,6470,0.0
1.0,1,2,10.0,62.4,59.0,3405,0.2
0.72,2,0,6.5,61.3,59.0,2692,0.0
0.38,0,3,6.0,61.6,54.0,710,0.0
1.22,2,4,6.0,62.4,57.0,6323,0.2
0.53,0,3,2.0,61.4,57.0,2106,0.0
1.02,1,3,3.6,62.7,58.0,5506,0.2
0.33,2,4,0.0,61.7,59.0,787,0.0
1.06,0,5,3.1,61.8,56.0,6060,0.0
0.3,1,2,0.0,60.7,58.0,1013,0.0
